Year,Entity,Gas production(m³),Gas consumption(m³),Coal production(Ton),Coal consumption(Ton),Oil production(m³),Oil consumption(m³),Gas production per capita(m³),Gas consumption per capita(m³),Coal production per capita(Ton),Coal consumption per capita(Ton),Oil production per capita(m³),Oil consumption per capita(m³),Population
1980,Afghanistan,1699000000,56640000,119000,119000,0,406500,127.2,4.241,0.00891,0.00891,0,0.03043,13360000
1981,Afghanistan,2237000000,84960000,125000,125000,0,464600,169.9,6.45,0.00949,0.00949,0,0.03527,13170000
1982,Afghanistan,2294000000,141600000,145000,145000,0,452900,178.1,10.99,0.01126,0.01126,0,0.03516,12880000
1983,Afghanistan,2407000000,141600000,145000,145000,0,638800,192,11.29,0.01157,0.01157,0,0.05095,12540000
1984,Afghanistan,2407000000,141600000,148000,148000,0,638800,197.2,11.6,0.01213,0.01213,0,0.05234,12200000
1985,Afghanistan,2974000000,0,151000,151000,0,754900,249.1,0,0.01265,0.01265,0,0.06323,11940000
1986,Afghanistan,2974000000,0,160000,160000,0,789600,253.4,0,0.01363,0.01363,0,0.06728,11740000
1987,Afghanistan,2804000000,623000000,167000,167000,0,805300,241.6,53.69,0.01439,0.01439,0,0.0694,11600000
1988,Afghanistan,3002000000,1982000000,138000,138000,0,765700,258.4,170.6,0.01188,0.01188,0,0.06591,11620000
1989,Afghanistan,2945000000,1926000000,127000,127000,0,776600,248.2,162.3,0.0107,0.0107,0,0.06543,11870000
1990,Afghanistan,2945000000,1897000000,105000,105000,0,788200,237.3,152.9,0.008459,0.008459,0,0.0635,12410000
1991,Afghanistan,311500000,311500000,94000,94000,0,740700,23.42,23.42,0.007068,0.007068,0,0.05569,13300000
1992,Afghanistan,300000000,300000000,8000,8000,0,414400,20.71,20.71,0.0005523,0.0005523,0,0.02861,14490000
1993,Afghanistan,300000000,300000000,7000,7000,0,414400,18.97,18.97,0.0004426,0.0004426,0,0.0262,15820000
1994,Afghanistan,299900000,299900000,6000,6000,0,385400,17.56,17.56,0.0003514,0.0003514,0,0.02257,17080000
1995,Afghanistan,199900000,199900000,5000,5000,0,373800,11.04,11.04,0.0002761,0.0002761,0,0.02064,18110000
1996,Afghanistan,230000000,230000000,3000,3000,0,343800,12.2,12.2,0.0001591,0.0001591,0,0.01824,18850000
1997,Afghanistan,230000000,230000000,2000,2000,0,325200,11.88,11.88,0.0001033,0.0001033,0,0.0168,19360000
